574,,52.88,HIP 14810 d,2009,2
575,,11.03,HIP 57050 b,2010,2
576,,25.87,HIP 57274 b,2011,2
577,,25.87,HIP 57274 c,2011,2
578,,25.87,HIP 57274 d,2011,2
579,1.22,11.43,HIP 63510 c,2010,2
580,,149.25,HIP 63242 b,2013,2
581,,23.98,HIP 70849 b,2009,2
582,,31.33,HIP 75458 b,2002,2
583,,131.93,HIP 78530 b,2010,2
584,,14.9,HIP 79431 b,2009,2
585,,44.46,HIP 91258 b,2013,2
586,,17.24,HR 810 b,1999,2
587,1.2,39.94,HR 8799 b,2008,2
588,1.2,39.94,HR 8799 c,2008,2
589,1.2,39.94,HR 8799 d,2008,2
590,,39.94,HR 8799 e,2010,2
591,1.11,262,KELT-1 b,2012,2
592,1.286,124.22,KELT-2 A b,2012,2
593,1.345,178,KELT-3 b,2013,2
594,1.193,222,KELT-6 b,2014,2
595,1.272,213,TrES-2 b,2006,2
596,1.342,320,HAT-P-7 b,2008,2
597,0.422,38,HAT-P-11 b,2008,2
598,0.357,550,Kepler-4 b,2009,1
599,1.431,,Kepler-5 b,2009,1
600,1.323,,Kepler-6 b,2009,1
601,1.478,,Kepler-7 b,2009,1
602,1.419,1330,Kepler-8 b,2010,1
603,0.842,650,Kepler-9 b,2010,1
604,0.823,650,Kepler-9 c,2010,1
605,0.146,650,Kepler-9 d,2010,1
606,0.126,173,Kepler-10 b,2011,1
607,0.199,173,Kepler-10 c,2011,1
608,0.161,613,Kepler-11 b,2010,1
609,0.256,613,Kepler-11 c,2010,1
610,0.278,613,Kepler-11 d,2010,1
611,0.374,613,Kepler-11 e,2010,1
612,0.222,613,Kepler-11 f,2010,1
613,0.297,613,Kepler-11 g,2010,1
614,1.695,600,Kepler-12 b,2011,1
615,1.83,,KOI-13 b,2011,1
616,1.136,980,Kepler-14 b,2011,1
617,0.96,,Kepler-15 b,2011,1
618,0.754,61,Kepler-16 b,2011,1
619,1.31,800,Kepler-17 b,2011,1
620,0.178,,Kepler-18 b,2011,1
621,0.49,,Kepler-18 c,2011,1
622,0.623,,Kepler-18 d,2011,1
623,0.197,2119,Kepler-19 b,2011,1
624,,2119,Kepler-19 c,2011,1
625,0.17,290,Kepler-20 b,2011,1
626,0.274,290,Kepler-20 c,2011,1
627,0.245,290,Kepler-20 d,2011,1
628,0.077,290,Kepler-20 e,2011,1
629,0.092,290,Kepler-20 f,2011,1
630,0.146,108,Kepler-21 b,2011,1
631,0.212,190,Kepler-22 b,2011,1
632,0.17,800,Kepler-23 b,2011,1
633,0.285,800,Kepler-23 c,2011,1
634,0.196,800,Kepler-23 d,2014,1
635,0.214,1200,Kepler-24 b,2011,1
636,0.25,1200,Kepler-24 c,2011,1
637,0.149,1200,Kepler-24 d,2014,1
638,0.248,1200,Kepler-24 e,2014,1
639,0.232,,Kepler-25 b,2011,1
640,0.401,,Kepler-25 c,2011,1
641,,,Kepler-25 d,2014,1
642,0.321,,Kepler-26 b,2011,1
643,0.321,,Kepler-26 c,2011,1
644,0.095,,Kepler-26 d,2014,1
645,0.215,,Kepler-26 e,2014,1
646,0.357,,Kepler-27 b,2011,1
647,0.437,,Kepler-27 c,2011,1
648,0.321,,Kepler-28 b,2011,1
649,0.303,,Kepler-28 c,2011,1
650,0.321,1400,Kepler-29 b,2011,1
651,0.259,1400,Kepler-29 c,2011,1
652,0.348,1400,Kepler-30 b,2012,1
653,1.097,1400,Kepler-30 c,2012,1
654,0.785,1400,Kepler-30 d,2012,1
655,0.491,2100,Kepler-31 b,2011,1
656,0.473,2100,Kepler-31 c,2011,1
657,0.407,2100,Kepler-31 d,2014,1
658,0.196,303,Kepler-32 b,2011,1
659,0.178,303,Kepler-32 c,2011,1
660,0.241,303,Kepler-32 d,2012,1
661,0.134,303,Kepler-32 e,2012,1
662,0.072,303,Kepler-32 f,2012,1
663,0.155,,Kepler-33 b,2011,1
664,0.285,,Kepler-33 c,2011,1
665,0.477,,Kepler-33 d,2011,1
666,0.359,,Kepler-33 e,2011,1
667,0.398,,Kepler-33 f,2011,1
668,0.764,1499,Kepler-34 b,2011,1
669,0.728,1645,Kepler-35 b,2011,1
670,0.133,470,Kepler-36 b,2012,1
671,0.328,470,Kepler-36 c,2012,1
672,0.027,66,Kepler-37 b,2013,1
673,0.066,66,Kepler-37 c,2013,1
674,0.178,66,Kepler-37 d,2013,1
675,0.384,600,Kepler-38 b,2012,1
676,1.22,1200,Kepler-39 b,2011,1
677,1.17,2700,Kepler-40 b,2010,1
678,0.89,770,Kepler-41 b,2011,1
679,0.07,38.7,Kepler-42 b,2011,1
680,0.065,38.7,Kepler-42 c,2011,1
