# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Mar 17 15:56:00 2014
#
# COLUMN pl_massj:       Planet Mass [jup] (val)
# COLUMN pl_massjerr1:   Planet Mass [jup] (upper unc)
# COLUMN pl_massjerr2:   Planet Mass [jup] (lower unc)
# COLUMN pl_massjlim:    Planet Mass [jup] (limit flag)
# COLUMN pl_msinij:      Planet M*sin(i) [jup] (val)
# COLUMN pl_msinijerr1:  Planet M*sin(i) [jup] (upper unc)
# COLUMN pl_msinijerr2:  Planet M*sin(i) [jup] (lower unc)
# COLUMN pl_msinijlim:   Planet M*sin(i) [jup] (limit flag)
# COLUMN st_dist:        Distance (val)
# COLUMN st_disterr1:    Distance (upper unc)
# COLUMN st_disterr2:    Distance (lower unc)
# COLUMN st_distlim:     Distance (limit flag)
# COLUMN pl_disc:        Year of Discovery
#
rowid,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,st_dist,st_disterr1,st_disterr2,st_distlim,pl_disc
228,,,,,0.06700,0.00900,-0.00900,0,39.39,0.94,-0.99,0,2010
229,,,,,0.20500,0.01400,-0.01400,0,39.39,0.94,-0.99,0,2010
230,,,,,0.94000,0.08000,-0.08000,0,17.35,0.19,-0.19,0,2006
231,,,,,6.21000,0.15000,-0.15000,0,32.56,0.84,-0.88,0,1999
232,,,,,3.44000,0.90000,-0.47000,0,53.82,2.67,-2.96,0,2007
233,,,,,0.82000,0.31000,-0.50000,0,53.82,2.67,-2.96,0,2008
234,,,,,6.54000,,,0,66.49,2.02,-2.14,0,2005
235,,,,,0.62200,0.05600,-0.05600,0,33.98,1.02,-1.08,0,2005
236,,,,,0.07880,0.00970,-0.00970,0,33.98,1.02,-1.08,0,2008
237,,,,,2.30000,0.19000,-0.19000,0,37.16,1.11,-1.18,0,2000
238,,,,,1.92000,0.16000,-0.16000,0,37.16,1.11,-1.18,0,2002
239,,,,,14.00000,6.00000,-6.00000,0,300.30,,,-1,2005
240,,,,,0.86500,0.03500,-0.03500,0,66.89,3.60,-4.03,0,2013
241,,,,,5.13000,0.25000,-0.25000,0,66.89,3.60,-4.03,0,2013
242,,,,,1.88000,0.15000,-0.15000,0,45.52,1.91,-2.08,0,2009
243,,,,,0.26000,0.02800,-0.02800,0,35.91,1.71,-1.89,0,2000
244,,,,,0.06960,0.00630,-0.00630,0,25.54,0.41,-0.42,0,2008
245,,,,,4.40000,0.34000,-0.34000,0,59.84,3.28,-3.69,0,2009
246,,,,,14.30000,0.90000,-0.90000,0,50.18,6.20,-8.24,0,2009
247,,,,,4.60000,0.30000,-0.30000,0,,,,,2007
248,3.19100,0.03300,-0.03300,0,,,,,78.25,5.15,-5.93,0,2007
249,,,,,2.70000,0.30000,-0.30000,0,127.88,15.27,-20.05,0,2011
250,,,,,1.37000,0.12000,-0.12000,0,22.38,0.37,-0.38,0,2003
251,,,,,0.00850,0.00094,-0.00094,0,6.06,0.02,-0.02,0,2011
252,,,,,0.00755,0.00126,-0.00126,0,6.06,0.02,-0.02,0,2011
253,,,,,0.01510,0.00189,-0.00189,0,6.06,0.02,-0.02,0,2011
254,,,,,1.90000,0.50000,-0.50000,0,36.02,1.11,-1.18,0,2006
255,,,,,1.99000,0.05000,-0.05000,0,44.50,2.68,-3.05,0,2008
256,,,,,1.50000,0.20000,-0.20000,0,89.13,5.65,-6.48,0,2006
257,,,,,2.61000,,,0,34.60,0.66,-0.68,0,2001
258,,,,,13.65000,0.97000,-0.97000,0,31.79,1.33,-1.45,0,2011
259,,,,,7.71000,0.39000,-0.39000,0,51.97,2.20,-2.40,0,2003
260,,,,,4.01000,0.49000,-0.49000,0,46.51,2.13,-2.34,0,2006
261,,,,,0.95000,0.10000,-0.10000,0,56.05,1.82,-1.95,0,2010
262,,,,,1.28000,,,0,18.24,0.17,-0.17,0,2000
263,,,,,1.45000,0.14000,-0.14000,0,44.54,1.50,-1.60,0,2012
264,,,,,0.62000,,,0,42.37,1.57,-1.70,0,2005
265,,,,,1.16000,,,0,56.18,1.95,-2.10,0,2010
266,,,,,5.59000,0.33000,-0.33000,0,39.56,1.62,-1.76,0,2001
267,,,,,1.70000,0.10000,-0.10000,0,168.92,30.03,-46.60,0,2011
268,,,,,9.17000,1.50000,-1.50000,0,54.71,2.21,-2.41,0,2002
269,,,,,1.37300,0.04700,-0.04700,0,26.50,0.61,-0.64,0,2009
270,,,,,1.80000,0.20000,-0.20000,0,121.07,11.78,-14.62,0,2011
271,,,,,0.50000,0.07000,-0.07000,0,53.82,3.06,-3.45,0,2010
