526,NaN,2.44,46.34,2004
527,24.09,NaN,40.85,2006
528,NaN,4.05,47.3,2009
529,NaN,1.68,47.3,2012
530,NaN,0.266,26.95,2011
531,NaN,1.37,90.33,2008
532,NaN,2.2,170.07,2009
533,0.56,NaN,55.31,2012
534,0.73,NaN,55.31,2012
535,NaN,9.9,352.11,2012
536,NaN,0.45,43.99,2004
537,0.714,NaN,47.08,1999
538,NaN,1.23,21.29,1998
539,1.9,NaN,55.93,2007
540,NaN,2.3,121.8,2009
541,NaN,0.45,52.72,2005
542,NaN,4.5,40.75,2001
543,NaN,0.017,43.53,2009
544,NaN,0.33,43.53,2009
545,NaN,1.26,33.29,2002
546,NaN,2.1,26.52,2002
547,NaN,0.65,37.89,2003
548,NaN,1.39,19.72,1998
549,NaN,2.6,19.72,2005
550,NaN,13,54.92,2010
551,NaN,0.21,29.94,2010
552,NaN,10.39,29.2,2012
553,1,NaN,NaN,2012
554,NaN,0.06,81.1,2007
555,NaN,11.1,289.02,2012
556,NaN,1.06,45.23,2012
557,NaN,1.45,48.43,2011
558,NaN,3.09,52.88,2007
559,NaN,1.9,50.45,2011
560,NaN,7.75,41.95,1999
561,NaN,0.71,94.07,2006
562,NaN,1.08,108.46,2007
563,NaN,6.575,NaN,2013
564,NaN,6.9,NaN,2009
